1.0000,-0.5368,0.2630,0.3136,0.5699,-0.5935,0.8927,0.5031,0.9753,0.9853,-0.1352
-0.5368,1.0000,-0.3645,-0.2533,-0.7035,0.5485,-0.6438,-0.7187,-0.5681,-0.4893,-0.3481
0.2630,-0.3645,1.0000,0.4739,0.3608,-0.0705,0.1898,0.1049,0.2681,0.2841,-0.1036
0.3136,-0.2533,0.4739,1.0000,0.6325,-0.2076,0.3878,0.4167,0.3999,0.3449,0.2424
0.5699,-0.7035,0.3608,0.6325,1.0000,-0.5109,0.7340,0.7887,0.6657,0.5628,0.4611
-0.5935,0.5485,-0.0705,-0.2076,-0.5109,1.0000,-0.5287,-0.5213,-0.5639,-0.5269,-0.1379
0.8927,-0.6438,0.1898,0.3878,0.7340,-0.5287,1.0000,0.7594,0.9288,0.8808,0.1620
0.5031,-0.7187,0.1049,0.4167,0.7887,-0.5213,0.7594,1.0000,0.5698,0.4584,0.5123
0.9753,-0.5681,0.2681,0.3999,0.6657,-0.5639,0.9288,0.5698,1.0000,0.9801,0.0136
0.9853,-0.4893,0.2841,0.3449,0.5628,-0.5269,0.8808,0.4584,0.9801,1.0000,-0.1850
-0.1352,-0.3481,-0.1036,0.2424,0.4611,-0.1379,0.1620,0.5123,0.0136,-0.1850,1.0000
